hand,seed,street,pos,oppPos,oppType,cards,board,potSize,betSize,situation,playerIsOOP,availableActions,bestAction,acceptable,handCategory,handDesc,handStrength,draws,drawOuts,boardTexture,mcEquity,rangeFallback,betRangeSize,checkRangeSize,callRangeSize,evBest,explanation,rating_Check,ev_Check,rating_Bet,ev_Bet,rating_Fold,ev_Fold,rating_Raise,ev_Raise,rating_Call,ev_Call,rating_3-Bet,ev_3-Bet
11,07E1JSN,flop,UTG,BTN,neutral,T6s,A♥ 6♥ 5♠,11,0,oop_first_to_act,OOP,Check/Bet,Check,Check,weak,Middle pair,0.200,none,0,dry,0.700,no,--,917,374,0.3,Middle pair on a dry board — betting only gets called by better hands. Take the free card. Their checking range is mixed,green,0.3,red,-1.0,,,,,,,,
12,1QVGK81,preflop,SB,BB,neutral,A8o,--,3.5,2.5,vs_raise,IP,Fold/Call/3-Bet,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,"A8o can't profitably defend from SB vs a raise. A8o has a weak kicker. It may seem strong because of the Ace, but it oft",,,,,green,0.3,,,red,-2.5,red,-2.5
13,0AF6EPZ,preflop,BTN,BB,neutral,J3o,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,"J3o is an unplayable hand. No suit advantage, poor connectivity, and easily dominated. Even from the BTN this hand can't",,,,,green,0.3,red,-2.5,,,,
14,1JJ8E9A,flop,UTG,BTN,aggro,ATs,9♦ 2♣ 6♠,18,8,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Call,Call,weak,Ace high,0.120,none,0,dry,0.510,no,1017,--,--,0.9,"Ace high on a dry board — roughly 51% equity against their betting range, needing 31%. Enough to continue. Against an Ag",,,,,red,-3.0,red,-2.0,green,0.9,,
15,1B1Y69D,preflop,BB,CO,neutral,T2o,--,1.5,0,open,IP,Check/Raise,Check,Check,--,--,--,--,--,--,--,no,--,--,--,0.3,"T2o — free flop, no reason to raise. See what comes.",green,0.3,,,,,red,-1.0,,,,
16,0VWNHYQ,preflop,CO,BB,neutral,JJ,--,1.5,0,open,IP,Fold/Raise,Raise,Raise,--,--,--,--,--,--,--,no,--,--,--,1.0,JJ is a standard open from CO. JJ is a premium pair — top ~3% of hands. Very strong in any position. Raise.,,,,,red,-1.5,green,1.0,,,,
17,1TGP4GD,flop,SB,UTG,neutral,44,A♦ 8♦ 8♠,20,7,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Fold,Fold,marginal,Two Pair (weak),0.350,none,0,dry,0.152,no,305,--,--,0.4,Two Pair (weak) with no real draw on a dry board — roughly 15% equity against this range. You'd need 26% to call. Nothin,,,,,green,0.4,red,-7.0,red,-7.0,,
18,1PH0THJ,flop,CO,UTG,aggro,A4o,K♥ 6♣ 8♠,9,0,ip_vs_check,IP,Check/Bet,Check,Check,weak,Ace high,0.120,none,0,dry,0.742,no,--,148,536,0.3,Ace high on a dry board — betting only gets called by better hands. Take the free card. An Aggro player checking is unus,green,0.3,red,-1.0,,,,,,,,
19,0DLCFXL,preflop,CO,BB,tight,K9o,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,K9o has one strong card but a weak kicker. Often dominated by better hands in the same range. Outside CO range with 3 pl,,,,,green,0.3,red,-2.5,,,,
20,04JYR5W,flop,BTN,MP,tight,K3s,5♠ 10♥ K♣,9,0,ip_vs_check,IP,Check/Bet,Check,Check,marginal,"Top pair, weak kicker",0.280,none,0,medium,0.861,no,--,1023,74,0.3,"Top pair, weak kicker — betting only gets called by better hands. Take the free card. A Careful player checking means we",green,0.3,red,-1.0,,,,,,,,
21,0HGJCO8,turn,UTG,BTN,tight,64o,A♣ 5♣ 8♥ 7♥,9,0,oop_first_to_act,OOP,Check/Bet,Bet,Bet,monster,Straight,1.000,open-ended straight draw,8,medium,0.970,no,--,837,315,0.8,Straight — roughly 97% equity vs their checking range. Worse hands will call. A Careful player checking signals weakness,red,-1.0,green,0.8,,,,,,,,
22,0M055MH,preflop,BB,BTN,neutral,42o,--,1.5,0,open,IP,Check/Raise,Check,Check,--,--,--,--,--,--,--,no,--,--,--,0.3,"42o — free flop, no reason to raise. See what comes.",green,0.3,,,,,red,-1.0,,,,
23,1UVNH2K,flop,MP,CO,tight,AJo,10♣ 7♦ 5♠,15,0,oop_first_to_act,OOP,Check/Bet,Check,Check,weak,Ace high,0.120,none,0,dry,0.598,no,--,985,144,0.3,Ace high on a dry board — betting only gets called by better hands. Take the free card. A Careful player checking means ,green,0.3,red,-2.0,,,,,,,,
24,1CEYYK9,turn,BTN,BB,neutral,32o,6♦ 4♠ 3♦ 10♦,17,7,ip_vs_bet,IP,Fold/Call/Raise,Call,Call,weak,Bottom pair,0.190,gutshot straight draw,4,wet,0.382,no,602,--,--,0.9,"Bottom pair on a wet board — roughly 38% equity against their betting range, needing 29%. Enough to continue. Against a ",,,,,red,-3.0,red,-2.0,green,0.9,,
25,0KJOKVY,preflop,UTG,SB,tight,Q7o,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,Q7o has one strong card but a weak kicker. Often dominated by better hands in the same range. Outside UTG range with 5 p,,,,,green,0.3,red,-2.5,,,,
26,13J7XD7,preflop,MP,UTG,neutral,AKs,--,3.5,2.5,vs_raise,IP,Fold/Call/3-Bet,3-Bet,3-Bet/Call,--,--,--,--,--,--,--,no,--,--,--,1.0,AKs — premium. 3-bet to build the pot and isolate. AKs (suited) is a premium holding. Strong equity against most ranges.,,,,,red,-1.5,,,yellow,-0.3,green,1.0
27,0MRPR8Z,flop,CO,SB,aggro,A2o,4♦ 7♥ 7♣,18,6,ip_vs_bet,IP,Fold/Call/Raise,Call,Call,trash,"Pair on board, ace kicker",0.100,none,0,dry,0.587,no,1081,--,--,0.9,"Pair on board, ace kicker on a dry board — roughly 59% equity against their betting range, needing 25%. Enough to contin",,,,,red,-3.0,red,-2.0,green,0.9,,
28,1VL3UDU,preflop,UTG,SB,aggro,AA,--,1.5,0,open,IP,Fold/Raise,Raise,Raise,--,--,--,--,--,--,--,no,--,--,--,1.0,AA is a standard open from UTG. AA is a premium pair — top ~3% of hands. Very strong in any position. Raise.,,,,,red,-1.5,green,1.0,,,,
29,0WVRFBN,turn,BTN,SB,tight,75s,10♥ 5♣ J♦ 8♥,13,0,ip_vs_check,IP,Check/Bet,Check,Check,weak,Bottom pair,0.190,gutshot straight draw,4,wet,0.573,no,--,855,344,0.3,Bottom pair on a wet board — betting only gets called by better hands. Take the free card. A Careful player checking mea,green,0.3,red,-1.0,,,,,,,,
30,1662GO4,flop,BB,UTG,tight,T3o,2♠ J♥ 5♠,18,7,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Fold,Fold,trash,Nothing,0.060,none,0,dry,0.097,no,142,--,--,0.4,Nothing with no real draw on a dry board — roughly 10% equity against this range. You'd need 28% to call. Nothing to wor,,,,,green,0.4,red,-7.0,red,-7.0,,
31,1KXZSQC,river,MP,SB,aggro,AQo,K♦ 3♥ 6♣ 9♥ 4♠,14,0,ip_vs_check,IP,Check/Bet,Check,Check,weak,Ace high,0.120,none,0,medium,0.377,L1,--,643,923,0.3,"Ace high — betting only gets called by better. Take the showdown. An Aggro player checking is unusual, but your hand isn",green,0.3,red,-1.0,,,,,,,,
32,094JO9I,turn,SB,BB,tight,T6o,8♠ J♦ 3♠ Q♣,15,0,oop_first_to_act,OOP,Check/Bet,Check,Check,trash,Nothing,0.110,gutshot straight draw,4,medium,0.342,no,--,888,174,0.3,Gutshot straight draw — betting only gets called by better hands. Take the free card. A Careful player checking means we,green,0.3,red,-2.0,,,,,,,,
33,1OSLM1A,turn,MP,BTN,tight,K8o,6♦ A♠ A♦ 3♠,20,5,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Call,Call/Fold,trash,"Pair on board, king kicker",0.100,none,0,dry,0.259,no,195,--,--,1.0,"Pair on board, king kicker on a dry board — roughly 26% equity against their betting range, needing 20%. Enough to conti",,,,,yellow,-1.0,red,-2.0,green,1.0,,
34,01J8XXM,flop,BTN,SB,neutral,QJo,9♦ A♣ 5♠,6,0,ip_vs_check,IP,Check/Bet,Check,Check,trash,Nothing,0.060,none,0,dry,0.480,no,--,1015,282,0.3,"Nothing on a dry board — betting only gets called by better hands. Take the free card. Their checking range is mixed, an",green,0.3,red,-1.0,,,,,,,,
35,1LBZ20N,preflop,BTN,UTG,aggro,52o,--,3.5,2.5,vs_raise,IP,Fold/Call/3-Bet,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,"52o is too weak to continue vs a raise from this position. 52o is an unplayable hand. No suit advantage, poor connectivi",,,,,green,0.3,,,red,-2.5,red,-2.5
36,0RZBILU,flop,BTN,MP,neutral,KQo,J♦ J♣ A♥,12,3,ip_vs_bet,IP,Fold/Call/Raise,Fold,Fold,trash,"Pair on board, king kicker",0.200,open-ended straight draw,8,dry,0.116,no,235,--,--,0.3,"Pair on board, king kicker plus open-ended straight draw on a dry board — roughly 12% equity. You need 20% to call 3BB i",,,,,green,0.3,red,-3.0,yellow,0.0,,
37,1LBX4WZ,preflop,MP,CO,aggro,86o,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,"86o is an unplayable hand. No suit advantage, poor connectivity, and easily dominated. Even from the BTN this hand can't",,,,,green,0.3,red,-2.5,,,,
38,1SCIAFE,turn,BB,CO,aggro,K5s,Q♣ Q♦ K♥ 7♦,19,5,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Raise,Raise/Call,good,Two Pair,0.670,flush draw,9,dry,0.862,no,1035,--,--,1.5,Two Pair on a dry board — roughly 86% equity against their betting range. Very strong. Raise for value — build the pot. ,,,,,red,-3.0,green,1.5,yellow,-1.0,,
39,149K156,turn,CO,BTN,tight,32o,J♦ 8♦ 7♥ 7♦,6,0,oop_first_to_act,OOP,Check/Bet,Check,Check,trash,Pair on board,0.220,flush draw,9,medium,0.321,no,--,382,671,0.3,"Pair on board — betting only gets called by better hands. Take the free card. A Careful player checking means weakness, ",green,0.3,red,-1.0,,,,,,,,
40,1AU8M7C,turn,SB,MP,tight,93o,9♦ Q♠ 9♣ 6♥,4,0,oop_first_to_act,OOP,Check/Bet,Bet,Bet,strong,Three of a Kind,0.650,none,0,dry,0.984,no,--,834,233,0.8,Three of a Kind on a dry board — roughly 98% equity vs their checking range. Worse hands will call. A Careful player che,red,0.0,green,0.8,,,,,,,,
41,1QFAI02,preflop,UTG,SB,aggro,KTs,--,1.5,0,open,IP,Fold/Raise,Raise,Raise,--,--,--,--,--,--,--,no,--,--,--,1.0,KTs is a standard open from UTG. KTs has one strong card but a weak kicker. Often dominated by better hands in the same ,,,,,red,-1.5,green,1.0,,,,
42,1WZ3GMN,preflop,SB,CO,neutral,63o,--,3.5,2.5,vs_raise,IP,Fold/Call/3-Bet,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,"63o can't profitably defend from SB vs a raise. 63o is an unplayable hand. No suit advantage, poor connectivity, and eas",,,,,green,0.3,,,red,-2.5,red,-2.5
43,1CQCSX1,turn,UTG,MP,aggro,52s,6♣ Q♣ J♦ A♣,11,0,oop_first_to_act,OOP,Check/Bet,Check,Check,trash,Nothing,0.060,none,0,wet,0.246,no,--,145,890,0.3,Nothing on a wet board — betting only gets called by better hands. Take the free card. An Aggro player checking is unusu,green,0.3,red,-1.0,,,,,,,,
44,1SJYREA,turn,BTN,UTG,aggro,74o,4♣ 3♣ Q♦ 10♦,11,3,ip_vs_bet,IP,Fold/Call/Raise,Call,Call,weak,Bottom pair,0.140,none,0,medium,0.542,no,921,--,--,0.6,"Bottom pair — roughly 54% equity against their betting range, needing 21%. Enough to continue. Against an Aggro player w",,,,,red,-2.0,red,-1.0,green,0.6,,
45,0SWGMOX,turn,UTG,MP,aggro,77,9♣ 5♦ 4♥ 2♠,13,0,oop_first_to_act,OOP,Check/Bet,Bet,Bet,marginal,Pocket pair below top card,0.220,none,0,medium,0.792,L1,--,718,843,1.0,Pocket pair below top card — roughly 79% equity vs their checking range. Worse hands will call. An Aggro player checking,red,-1.0,green,1.0,,,,,,,,
46,0MDG5C5,flop,MP,BTN,neutral,42o,9♠ 5♥ 5♦,13,5,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Fold,Fold,trash,Pair on board,0.100,none,0,dry,0.037,no,268,--,--,0.3,Pair on board with no real draw on a dry board — roughly 4% equity against this range. You'd need 28% to call. Nothing t,,,,,green,0.3,red,-5.0,red,-5.0,,
47,0YBWFYP,turn,UTG,BTN,neutral,97s,Q♠ 8♠ 3♦ 8♥,13,3,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Fold,Fold,trash,Pair on board,0.100,none,0,dry,0.049,no,300,--,--,0.3,Pair on board with no real draw on a dry board — roughly 5% equity against this range. You'd need 19% to call. Nothing t,,,,,green,0.3,red,-3.0,red,-3.0,,
48,1HVY9NM,flop,SB,BTN,neutral,T4o,K♠ Q♥ 7♦,4,0,oop_first_to_act,OOP,Check/Bet,Check,Check,trash,Nothing,0.060,none,0,medium,0.321,no,--,987,245,0.3,"Nothing — betting only gets called by better hands. Take the free card. Their checking range is mixed, and your hand can",green,0.3,red,0.0,,,,,,,,
49,1HKKF5Q,flop,SB,UTG,neutral,AJs,7♠ K♣ 9♦,8,0,oop_first_to_act,OOP,Check/Bet,Check,Check,weak,Ace high,0.120,none,0,dry,0.571,no,--,980,306,0.3,"Ace high on a dry board — betting only gets called by better hands. Take the free card. Their checking range is mixed, a",green,0.3,red,-1.0,,,,,,,,
50,0ST68BE,river,SB,MP,aggro,T3o,8♣ 8♠ 4♠ Q♥ 9♦,12,0,oop_first_to_act,OOP,Check/Bet,Check,Check,trash,Pair on board,0.150,gutshot straight draw,4,dry,0.237,L1,--,577,990,0.3,Pair on board on a dry runout — betting only gets called by better. Take the showdown. An Aggro player checking is unusu,green,0.3,red,-1.0,,,,,,,,
51,04U48EJ,flop,MP,UTG,tight,J2o,10♦ 6♠ 2♦,16,4,ip_vs_bet,IP,Fold/Call/Raise,Call,Call/Fold,weak,Bottom pair,0.140,none,0,dry,0.236,no,149,--,--,0.8,"Bottom pair on a dry board — roughly 24% equity, needing 20% to call 4BB into 16BB. Just enough equity to call, but a Ca",,,,,green,0.3,red,-2.0,green,0.8,,
52,0L30I9I,turn,BTN,SB,neutral,J6o,9♥ 8♦ 6♣ A♣,7,0,ip_vs_check,IP,Check/Bet,Check,Check,weak,Bottom pair,0.140,none,0,medium,0.582,no,--,732,645,0.3,"Bottom pair — betting only gets called by better hands. Take the free card. Their checking range is mixed, and your hand",green,0.3,green,0.8,,,,,,,,
53,1RW7INI,turn,UTG,BTN,neutral,52o,2♦ K♣ 3♣ A♠,14,0,oop_first_to_act,OOP,Check/Bet,Check,Check,weak,Bottom pair,0.190,gutshot straight draw,4,wet,0.552,no,--,731,548,0.3,Bottom pair on a wet board — betting only gets called by better hands. Take the free card. Their checking range is mixed,green,0.3,green,1.1,,,,,,,,
54,0ECTZGA,turn,BB,UTG,tight,32o,8♠ 7♦ Q♣ 9♠,9,0,oop_first_to_act,OOP,Check/Bet,Check,Check,trash,Nothing,0.060,none,0,medium,0.094,no,--,834,469,0.3,"Nothing — betting only gets called by better hands. Take the free card. A Careful player checking means weakness, but yo",green,0.3,red,-1.0,,,,,,,,
55,03N0S4A,turn,BTN,UTG,tight,32o,8♥ 7♠ 10♠ 9♥,12,5,ip_vs_bet,IP,Fold/Call/Raise,Fold,Fold,trash,Nothing,0.060,none,0,medium,0.075,no,502,--,--,0.3,Nothing with no real draw — roughly 8% equity against this range. You'd need 29% to call. Nothing to work with. Against ,,,,,green,0.3,red,-5.0,red,-5.0,,
56,1566ODO,turn,SB,CO,tight,AKo,3♥ J♠ Q♣ 6♠,11,0,oop_first_to_act,OOP,Check/Bet,Bet,Bet/Check,weak,Ace high,0.220,open-ended straight draw,8,medium,0.572,no,--,902,182,0.9,"Ace high isn't much yet, but open-ended straight draw gives you outs if called. Good spot to take it down now or improve",yellow,0.0,green,0.9,,,,,,,,
57,0433FEU,flop,UTG,BB,neutral,T7o,5♦ A♥ Q♠,12,5,ip_vs_bet,IP,Fold/Call/Raise,Fold,Fold,trash,Nothing,0.060,none,0,medium,0.059,no,76,--,--,0.3,Nothing with no real draw — roughly 6% equity against this range. You'd need 29% to call. Nothing to work with. Against ,,,,,green,0.3,red,-5.0,red,-5.0,,
58,0BG64FV,turn,MP,UTG,tight,T5o,Q♥ 8♦ Q♦ 6♦,12,0,ip_vs_check,IP,Check/Bet,Check,Check,trash,Pair on board,0.100,none,0,medium,0.254,no,--,549,501,0.3,"Pair on board — betting only gets called by better hands. Take the free card. A Careful player checking means weakness, ",green,0.3,red,-1.0,,,,,,,,
59,0EGLHH0,flop,CO,BTN,aggro,87o,3♣ 8♦ 9♥,11,4,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Raise,Raise/Call,weak,Middle pair,0.200,none,0,dry,0.671,no,977,--,--,0.9,Middle pair on a dry board — roughly 67% equity against their betting range. Very strong. Raise for value — build the po,,,,,red,-2.0,green,0.9,yellow,0.0,,
60,0SR8CA5,turn,BB,BTN,aggro,K3s,6♠ 9♦ J♥ 4♣,22,9,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Call,Call/Fold,trash,One overcard,0.080,none,0,dry,0.305,no,991,--,--,0.4,"One overcard on a dry board — roughly 31% equity, needing 29% to call 9BB into 22BB. Close spot, but an Aggro player's w",,,,,green,0.4,red,-9.0,green,0.4,,
61,05YUZTG,turn,BB,CO,aggro,84o,Q♠ K♠ K♣ 8♠,8,0,oop_first_to_act,OOP,Check/Bet,Bet,Bet/Check,marginal,Two Pair (weak),0.350,none,0,medium,0.676,L1,--,536,1035,0.8,Two Pair (weak) — roughly 68% equity vs their checking range. Worse hands will call. An Aggro player checking signals ge,yellow,0.0,green,0.8,,,,,,,,
62,0V9TKRJ,flop,BTN,UTG,aggro,J7o,6♥ K♦ 10♣,12,4,ip_vs_bet,IP,Fold/Call/Raise,Fold,Fold/Call,trash,Nothing,0.060,none,0,medium,0.239,no,809,--,--,0.3,"Nothing — roughly 24% equity, needing 25% to call 4BB into 12BB. Even against a wide range, you're just below breakeven.",,,,,green,0.3,red,-4.0,green,0.3,,
63,1XN21MX,flop,BTN,MP,neutral,43o,J♦ 4♣ 9♦,9,0,ip_vs_check,IP,Check/Bet,Check,Check,weak,Bottom pair,0.140,none,0,dry,0.547,no,--,914,353,0.3,Bottom pair on a dry board — betting only gets called by better hands. Take the free card. Their checking range is mixed,green,0.3,red,-1.0,,,,,,,,
64,0D1YZKD,preflop,BB,CO,aggro,J6s,--,1.5,0,open,IP,Check/Raise,Check,Check,--,--,--,--,--,--,--,no,--,--,--,0.3,"J6s — free flop, no reason to raise. See what comes.",green,0.3,,,,,red,-1.0,,,,
65,1DCKSZ2,turn,SB,BTN,neutral,AQo,3♣ 8♥ 5♠ 5♦,9,0,oop_first_to_act,OOP,Check/Bet,Check,Check,trash,"Pair on board, ace kicker",0.100,none,0,dry,0.756,no,--,727,522,0.3,"Pair on board, ace kicker on a dry board — betting only gets called by better hands. Take the free card. Their checking ",green,0.3,red,-1.0,,,,,,,,
66,0953OCG,flop,SB,BB,aggro,43o,8♣ 8♥ 7♣,12,0,oop_first_to_act,OOP,Check/Bet,Check,Check,trash,Pair on board,0.100,none,0,dry,0.204,L1,--,851,1081,0.3,Pair on board on a dry board — betting only gets called by better hands. Take the free card. An Aggro player checking is,green,0.3,red,-1.0,,,,,,,,
67,10671Z1,river,BB,UTG,neutral,93o,3♥ 4♥ J♥ 2♥ 2♦,17,7,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Raise,Raise/Call,monster,Flush,0.925,none,0,wet,0.726,no,759,--,--,1.4,Flush — board completed the flush draw — roughly 73% equity against their betting range. Very strong. Raise for value — ,,,,,red,-3.0,green,1.4,yellow,-1.0,,
68,1NP9SC1,flop,CO,SB,tight,K4o,Q♦ 7♥ 5♦,9,0,ip_vs_check,IP,Check/Bet,Check,Check,trash,One overcard,0.080,none,0,dry,0.441,no,--,958,149,0.3,One overcard on a dry board — betting only gets called by better hands. Take the free card. A Careful player checking me,green,0.3,red,-1.0,,,,,,,,
69,10HE1EZ,flop,SB,UTG,tight,43s,7♥ 3♥ 10♥,10,4,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Call,Call/Fold,weak,Bottom pair,0.140,none,0,wet,0.320,no,491,--,--,0.5,"Bottom pair on a wet board — roughly 32% equity, needing 29% to call 4BB into 10BB. Just enough equity to call, but a Ca",,,,,green,0.3,red,-1.0,green,0.5,,
70,1MLXEDL,turn,UTG,MP,neutral,QTo,A♥ 9♣ J♣ 2♥,25,11,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Call,Call/Fold,trash,Nothing,0.160,open-ended straight draw,8,medium,0.365,no,218,--,--,1.3,"Open-ended straight draw plus open-ended straight draw — roughly 37% equity. You're paying 11BB into 25BB, needing 31%. ",,,,,yellow,-1.0,red,-3.0,green,1.3,,
71,1SPA3OZ,preflop,MP,SB,tight,95o,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,"95o is an unplayable hand. No suit advantage, poor connectivity, and easily dominated. Even from the BTN this hand can't",,,,,green,0.3,red,-2.5,,,,
72,1ADUYP2,preflop,BB,CO,aggro,52s,--,3.5,2.5,vs_raise,IP,Fold/Call/3-Bet,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,52s can't profitably defend from BB vs a raise. 52s is a suited hand with a wide gap. Flush potential gives it some valu,,,,,green,0.3,,,red,-2.5,red,-2.5
73,0ZQKF6W,river,CO,UTG,tight,A7o,Q♥ 10♠ K♦ 8♠ K♥,15,0,ip_vs_check,IP,Check/Bet,Check,Check/Bet,trash,"Pair on board, ace kicker",0.150,gutshot straight draw,4,medium,0.535,no,--,775,344,0.3,"Pair on board, ace kicker — a borderline spot. Both betting and checking are fine here. A Careful player checking means ",green,0.3,red,-2.0,,,,,,,,
74,1JHZX2R,preflop,MP,SB,neutral,KTo,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,KTo has one strong card but a weak kicker. Often dominated by better hands in the same range. Outside MP range with 4 pl,,,,,green,0.3,red,-2.5,,,,
75,1PE1UIL,flop,CO,UTG,aggro,98o,3♦ A♥ Q♣,8,0,ip_vs_check,IP,Check/Bet,Check,Check,trash,Nothing,0.060,none,0,medium,0.773,no,--,241,528,0.3,"Nothing — betting only gets called by better hands. Take the free card. An Aggro player checking is unusual, but your ha",green,0.3,red,-1.0,,,,,,,,
76,1D8FO8X,preflop,CO,SB,tight,K2o,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,K2o has one strong card but a weak kicker. Often dominated by better hands in the same range. Outside CO range with 3 pl,,,,,green,0.3,red,-2.5,,,,
77,02XAH1Z,preflop,BTN,BB,aggro,55,--,1.5,0,open,IP,Fold/Raise,Raise,Raise,--,--,--,--,--,--,--,no,--,--,--,1.0,55 is a standard open from BTN. 55 is a small pair. Main value comes from flopping a set (~12% of the time). Raise.,,,,,red,-1.5,green,1.0,,,,
78,0XLBBX6,flop,BTN,BB,tight,A2o,6♣ J♠ 4♣,11,0,ip_vs_check,IP,Check/Bet,Check,Check,weak,Ace high,0.120,none,0,dry,0.484,no,--,955,156,0.3,Ace high on a dry board — betting only gets called by better hands. Take the free card. A Careful player checking means ,green,0.3,red,-1.0,,,,,,,,
79,0QAP720,flop,CO,MP,tight,Q4o,Q♣ K♠ J♦,6,0,ip_vs_check,IP,Check/Bet,Check,Check/Bet,weak,Middle pair,0.200,none,0,wet,0.724,no,--,1003,368,0.3,Middle pair on a wet board — a borderline spot. Both betting and checking are fine here. A Careful player checking means,green,0.3,green,0.8,,,,,,,,
